member_id,group,group_representative,assembly_id,contig_id,gene_position,orf_id,is_pseudogene,refseq_locus_tag,refseq_gene,refseq_product,is_seed,identity_to_query,coverage_to_query,evalue_to_query,ortho_cluster_id,ortho_cluster_members,mmseqs_cluster_id,mmseqs_cluster_representative,pairwise_mean_dissimilarity,relative_dissimilarity_to_representative,organism,genus,species,cds_start,cds_end,strand,relative_gene_position,hierarchical_order
GCF_000332235_02686,-1,GCF_000332235_02686,GCF_000332235,GCF_000332235_0,1.0,GCF_000332235_02681,g,SYN6308_RS13940,,PAS domain S-box protein,0,99.425,99,0.0,176.0,GCF_000332235_02681,145.0,GCF_000332235_02681,0.9502012882447666,0.0,Geminocystis herdmanii PCC 6308,geminocystis,herdmanii,2797962,2802378,1,6.0,2
GCF_000332235_02686,-1,GCF_000332235_02686,GCF_000332235,GCF_000332235_0,2.0,GCF_000332235_02682,g,SYN6308_RS24920,,hypothetical protein,0,99.425,99,0.0,181.0,GCF_000332235_02682,146.0,GCF_000332235_02682,0.9502012882447666,0.0,Geminocystis herdmanii PCC 6308,geminocystis,herdmanii,2802653,2802827,-1,6.0,2
GCF_000332235_02686,-1,GCF_000332235_02686,GCF_000332235,GCF_000332235_0,3.0,GCF_000332235_02683,g,SYN6308_RS13950,,hypothetical protein,0,99.425,99,0.0,185.0,GCF_000332235_02683,147.0,GCF_000332235_02683,0.9502012882447666,0.0,Geminocystis herdmanii PCC 6308,geminocystis,herdmanii,2802882,2803860,-1,6.0,2
GCF_000332235_02686,-1,GCF_000332235_02686,GCF_000332235,GCF_000332235_0,4.0,GCF_000332235_02684,g,SYN6308_RS13955,trmD,tRNA (guanosine(37)-N1)-methyltransferase TrmD,0,99.425,99,0.0,31.0,GCF_000332235_02684,148.0,GCF_000332235_02684,0.9502012882447666,0.0,Geminocystis herdmanii PCC 6308,geminocystis,herdmanii,2804052,2804769,-1,6.0,2
GCF_000332235_02686,-1,GCF_000332235_02686,GCF_000332235,GCF_000332235_0,5.0,GCF_000332235_02685,g,SYN6308_RS13960,,cyanophycinase,0,99.425,99,0.0,19.0,GCF_000332235_02685,149.0,GCF_000332235_02685,0.9502012882447666,0.0,Geminocystis herdmanii PCC 6308,geminocystis,herdmanii,2805005,2805824,1,6.0,2
GCF_000332235_02686,-1,GCF_000332235_02686,GCF_000332235,GCF_000332235_0,6.0,GCF_000332235_02686,g,SYN6308_RS13965,cphA,cyanophycin synthetase,1,99.425,99,0.0,9.0,GCF_000332235_02686,150.0,GCF_000332235_02686,0.9502012882447666,0.0,Geminocystis herdmanii PCC 6308,geminocystis,herdmanii,2806081,2808700,1,6.0,2
GCF_000332235_02686,-1,GCF_000332235_02686,GCF_000332235,GCF_000332235_0,7.0,GCF_000332235_02687,g,SYN6308_RS13970,,hypothetical protein,0,99.425,99,0.0,52.0,GCF_000332235_02687,151.0,GCF_000332235_02687,0.9502012882447666,0.0,Geminocystis herdmanii PCC 6308,geminocystis,herdmanii,2808831,2809206,1,6.0,2
GCF_000332235_02686,-1,GCF_000332235_02686,GCF_000332235,GCF_000332235_0,8.0,GCF_000332235_02688,g,SYN6308_RS13975,,D-alanine--D-alanine ligase,0,99.425,99,0.0,58.0,GCF_000332235_02688,152.0,GCF_000332235_02688,0.9502012882447666,0.0,Geminocystis herdmanii PCC 6308,geminocystis,herdmanii,2809531,2810572,-1,6.0,2
GCF_000332235_02686,-1,GCF_000332235_02686,GCF_000332235,GCF_000332235_0,9.0,GCF_000332235_02689,g,SYN6308_RS13980,,hypothetical protein,0,99.425,99,0.0,63.0,GCF_000332235_02689,153.0,GCF_000332235_02689,0.9502012882447666,0.0,Geminocystis herdmanii PCC 6308,geminocystis,herdmanii,2810754,2810976,1,6.0,2
GCF_000332235_02686,-1,GCF_000332235_02686,GCF_000332235,GCF_000332235_0,10.0,GCF_000332235_02690,g,SYN6308_RS22505,,hypothetical protein,0,99.425,99,0.0,69.0,GCF_000332235_02690,154.0,GCF_000332235_02690,0.9502012882447666,0.0,Geminocystis herdmanii PCC 6308,geminocystis,herdmanii,2811157,2811433,-1,6.0,2
