target_id	length	eff_length	est_counts	tpm
POCFKNDN_00001	663	517.75	1.90858e-05	1.3343e-06
POCFKNDN_00002	1308	1162.75	0	0
POCFKNDN_00003	279	136.675	0	0
POCFKNDN_00004	288	145.149	0	0
POCFKNDN_00005	1215	1069.75	0	0
POCFKNDN_00006	342	197.644	0	0
POCFKNDN_00007	144	29.5635	0	0
POCFKNDN_00008	2004	1858.75	0	0
POCFKNDN_00009	1230	1084.75	119	3.9708
POCFKNDN_00010	1260	1114.75	421	13.6699
POCFKNDN_00011	1137	991.75	1034	37.738
POCFKNDN_00012	327	182.926	267	52.8319
POCFKNDN_00013	438	292.909	298	36.8251
POCFKNDN_00014	708	562.75	344	22.1261
POCFKNDN_00015	534	388.75	60	5.58653
POCFKNDN_00016	303	159.641	188	42.6259
POCFKNDN_00017	237	97.8989	12	4.43674
POCFKNDN_00018	2985	2839.75	146	1.86095
POCFKNDN_00019	564	418.75	42	3.63041
POCFKNDN_00020	897	751.75	200	9.62981
POCFKNDN_00021	207	72.6536	20	9.96401
POCFKNDN_00022	612	466.75	189	14.6568
POCFKNDN_00023	1797	1651.75	1110	24.3243
POCFKNDN_00024	279	136.675	29	7.68016
POCFKNDN_00025	498	352.786	169	17.3395
POCFKNDN_00026	2145	1999.75	652	11.8014
POCFKNDN_00027	1623	1477.75	436	10.6794
POCFKNDN_00028	468	322.819	143	16.0338
POCFKNDN_00029	249	108.705	660	219.764
POCFKNDN_00030	1368	1222.75	122	3.61146
POCFKNDN_00031	786	640.75	84	4.74517
POCFKNDN_00032	666	520.75	114	7.92386
POCFKNDN_00033	885	739.75	850	41.5906
POCFKNDN_00034	363	218.374	320	53.0408
POCFKNDN_00035	966	820.75	1660	73.208
POCFKNDN_00036	516	370.75	573	55.9416
POCFKNDN_00037	939	793.75	775	35.341
POCFKNDN_00038	726	580.75	836	52.1049
POCFKNDN_00039	495	349.786	354	36.6321
POCFKNDN_00040	1203	1057.75	99	3.38776
POCFKNDN_00041	678	532.75	30	2.03826
POCFKNDN_00042	1449	1303.75	111	3.0817
POCFKNDN_00043	690	544.75	431	28.6379
POCFKNDN_00044	1203	1057.75	301	10.3002
POCFKNDN_00045	786	640.75	173.048	9.77553
POCFKNDN_00046	822	676.75	97	5.18806
POCFKNDN_00047	1779	1633.75	411	9.10578
POCFKNDN_00048	324	180.035	220	44.2309
POCFKNDN_00049	2373	2227.75	437	7.10029
POCFKNDN_00050	1149	1003.75	193	6.95974
POCFKNDN_00051	222	84.9787	1	0.425942
POCFKNDN_00052	558	412.75	9	0.789254
POCFKNDN_00053	249	108.705	15	4.99464
POCFKNDN_00054	174	47.9611	37	27.9237
POCFKNDN_00055	432	286.938	606	76.4444
POCFKNDN_00056	642	496.75	316	23.0256
POCFKNDN_00057	1374	1228.75	485	14.2869
POCFKNDN_00058	1128	982.75	231	8.50805
POCFKNDN_00059	327	182.926	20	3.95744
POCFKNDN_00060	612	466.75	539.828	41.8632
POCFKNDN_00061	1527	1381.75	2515	65.8824
POCFKNDN_00062	1059	913.75	194	7.68485
POCFKNDN_00063	147	31.1859	720.957	836.783
POCFKNDN_00064	1959	1813.75	1406	28.0588
POCFKNDN_00065	1212	1066.75	882	29.9273
POCFKNDN_00066	678	532.75	688	46.744
POCFKNDN_00067	480	334.786	305	32.9756
POCFKNDN_00068	861	715.75	91	4.60194
POCFKNDN_00069	651	505.75	471	33.709
POCFKNDN_00070	843	697.75	238	12.3463
POCFKNDN_00071	498	352.786	334	34.2686
POCFKNDN_00072	555	409.75	21.2657	1.87855
POCFKNDN_00073	981	835.75	72	3.1183
POCFKNDN_00074	747	601.75	1897	114.107
POCFKNDN_00075	405	260.047	281	39.1125
POCFKNDN_00076	846	700.75	81.1689	4.19264
POCFKNDN_00077	618	472.75	1286	98.4624
POCFKNDN_00078	1374	1228.75	206	6.06827
POCFKNDN_00079	864	718.75	33	1.66187
POCFKNDN_00080	426	280.967	276	35.5562
POCFKNDN_00081	480	334.786	1375	148.661
POCFKNDN_00082	294	150.956	1348	323.222
POCFKNDN_00083	762	616.75	219	12.8528
POCFKNDN_00084	1182	1036.75	214	7.47138
POCFKNDN_00085	417	271.967	150	19.9635
POCFKNDN_00086	1029	883.75	63	2.58031
POCFKNDN_00087	1617	1471.75	24	0.590253
POCFKNDN_00088	954	808.75	10	0.447555
POCFKNDN_00089	711	565.75	79	5.05433
POCFKNDN_00090	372	227.264	113	17.9974
POCFKNDN_00091	2652	2506.75	88	1.27067
POCFKNDN_00092	1173	1027.75	52	1.83137
POCFKNDN_00093	243	103.263	6	2.10314
POCFKNDN_00094	2208	2062.75	784	13.7572
POCFKNDN_00095	423	277.967	165	21.4858
POCFKNDN_00096	816	670.75	154	8.31039
POCFKNDN_00097	672	526.75	197	13.537
POCFKNDN_00098	204	70.2224	196	101.028
POCFKNDN_00099	1623	1477.75	227	5.56014
POCFKNDN_00100	1029	883.75	483	19.7824
POCFKNDN_00101	1074	928.75	18	0.701511
POCFKNDN_00102	330	185.834	689	134.201
POCFKNDN_00103	927	781.75	43	1.99096
POCFKNDN_00104	663	517.75	69	4.82381
POCFKNDN_00105	1251	1105.75	15	0.491016
POCFKNDN_00106	1386	1240.75	816	23.8049
POCFKNDN_00107	2214	2068.75	793	13.8748
POCFKNDN_00108	789	643.75	1351	75.9625
POCFKNDN_00109	849	703.75	1427	73.395
POCFKNDN_00110	1467	1321.75	1028	28.1517
POCFKNDN_00111	171	46.0127	7	5.50657
POCFKNDN_00112	2187	2041.75	69	1.22323
POCFKNDN_00113	126	20.8936	30	51.9718
POCFKNDN_00114	579	433.75	1325	110.57
POCFKNDN_00115	165	42.1479	247	212.12
POCFKNDN_00116	813	667.75	1278	69.2753
POCFKNDN_00117	429	283.967	753	95.9817
POCFKNDN_00118	327	182.926	336	66.485
POCFKNDN_00119	1545	1399.75	38.0949	0.985094
POCFKNDN_00120	588	442.75	114.905	9.39381
POCFKNDN_00121	564	418.75	560	48.4055
POCFKNDN_00122	981	835.75	261	11.3038
