region_id,assembly_id,contig_id,locus_tag,cds_start,cds_end,strand,global_strand,pseudo_check,pident,qcovs,evalue,dbscan_label,mean_dissimilarity,representative_relative_dissimilarity,ortho_cluster_id,genus,species,refseq_product,refseq_gene,new_pos,is_seed,order,cds_start1,cds_end1,norm_start,norm_end,max_val
GCF_000332235_02685,GCF_000332235,GCF_000332235_0,GCF_000332235_02681,2797962,2802378,1,1,g,99.265,100,0.0,-1.0,0.9551656920077972,0.0,20.0,geminocystis,herdmanii,PAS domain S-box protein,,-4.0,0,0,2797962,2802378,-7043,-2627,819
GCF_000332235_02685,GCF_000332235,GCF_000332235_0,GCF_000332235_02682,2802653,2802827,-1,1,g,99.265,100,0.0,-1.0,0.9551656920077972,0.0,23.0,geminocystis,herdmanii,hypothetical protein,,-3.0,0,0,2802653,2802827,-2352,-2178,819
GCF_000332235_02685,GCF_000332235,GCF_000332235_0,GCF_000332235_02683,2802882,2803860,-1,1,g,99.265,100,0.0,-1.0,0.9551656920077972,0.0,29.0,geminocystis,herdmanii,hypothetical protein,,-2.0,0,0,2802882,2803860,-2123,-1145,819
GCF_000332235_02685,GCF_000332235,GCF_000332235_0,GCF_000332235_02684,2804052,2804769,-1,1,g,99.265,100,0.0,-1.0,0.9551656920077972,0.0,11.0,geminocystis,herdmanii,tRNA (guanosine(37)-N1)-methyltransferase TrmD,trmD,-1.0,0,0,2804052,2804769,-953,-236,819
GCF_000332235_02685,GCF_000332235,GCF_000332235_0,GCF_000332235_02685,2805005,2805824,1,1,g,99.265,100,0.0,-1.0,0.9551656920077972,0.0,6.0,geminocystis,herdmanii,cyanophycinase,,0.0,1,0,2805005,2805824,0,819,819
GCF_000332235_02685,GCF_000332235,GCF_000332235_0,GCF_000332235_02686,2806081,2808700,1,1,g,99.265,100,0.0,-1.0,0.9551656920077972,0.0,7.0,geminocystis,herdmanii,cyanophycin synthetase,cphA,1.0,0,0,2806081,2808700,1076,3695,819
GCF_000332235_02685,GCF_000332235,GCF_000332235_0,GCF_000332235_02687,2808831,2809206,1,1,g,99.265,100,0.0,-1.0,0.9551656920077972,0.0,40.0,geminocystis,herdmanii,hypothetical protein,,2.0,0,0,2808831,2809206,3826,4201,819
GCF_000332235_02685,GCF_000332235,GCF_000332235_0,GCF_000332235_02688,2809531,2810572,-1,1,g,99.265,100,0.0,-1.0,0.9551656920077972,0.0,43.0,geminocystis,herdmanii,D-alanine--D-alanine ligase,,3.0,0,0,2809531,2810572,4526,5567,819
GCF_000332235_02685,GCF_000332235,GCF_000332235_0,GCF_000332235_02689,2810754,2810976,1,1,g,99.265,100,0.0,-1.0,0.9551656920077972,0.0,46.0,geminocystis,herdmanii,hypothetical protein,,4.0,0,0,2810754,2810976,5749,5971,819
GCF_000332235_02685,GCF_000332235,GCF_000332235_0,GCF_000332235_02690,2811157,2811433,-1,1,g,99.265,100,0.0,-1.0,0.9551656920077972,0.0,49.0,geminocystis,herdmanii,hypothetical protein,,5.0,0,0,2811157,2811433,6152,6428,819
