dbscan_label,label_representative,full_index_pos,relative_index_pos,mean_dissimilarity,representative_relative_dissimilarity,seed_region_id
-1.0,5.0,0.0,0.0,1.0,1.0,GCF_000011385_00119
-1.0,5.0,1.0,1.0,1.0,1.0,GCF_000011385_04206
-1.0,5.0,2.0,2.0,1.0,1.0,GCF_000046845_01133
-1.0,5.0,3.0,3.0,1.0,1.0,GCF_000204075_00340
-1.0,5.0,4.0,4.0,0.9570175438596492,0.8421052631578947,GCF_000204075_01842
-1.0,5.0,5.0,5.0,0.9551656920077972,0.0,GCF_000332235_02685
-1.0,5.0,6.0,6.0,0.9648148148148149,0.8888888888888888,GCF_000340785_01347
0.0,10.0,7.0,0.0,0.6036630036630036,0.5,GCF_001046855_01620
0.0,10.0,8.0,1.0,0.6349206349206349,0.6,GCF_001046875_00605
0.0,10.0,9.0,2.0,0.569327731092437,0.5,GCF_001050535_01443
0.0,10.0,10.0,3.0,0.525,0.0,GCF_009184895_02175
0.0,10.0,11.0,4.0,0.6305304172951232,0.5,GCF_009707485_00857
